Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
5004;Saint-Jacques - Val de Grâce;OUI;20;2;17;3;14;OUI;OUI;2020-12-07T13:24:27+01:00;48.8417514,2.3413893;Paris;
12114;Victor Hugo - Jeanne Jugan;OUI;28;24;4;1;3;OUI;OUI;2020-12-07T13:25:49+01:00;48.843949064,2.41508139483;Paris;
21306;Place Lafayette;OUI;62;3;59;55;4;OUI;OUI;2020-12-07T13:25:47+01:00;48.8296549755,2.26386755705;Issy-les-Moulineaux;
14138;Porte de Vanves;OUI;32;31;1;1;0;OUI;OUI;2020-12-07T13:25:54+01:00;48.8280128494,2.30568788946;Paris;
15105;Fédération - Suffren;OUI;25;18;7;6;1;OUI;OUI;2020-12-07T13:19:57+01:00;48.8528281534,2.29787763208;Paris;
46003;Conservatoire de Musique;OUI;25;9;15;2;13;OUI;OUI;2020-12-07T13:25:35+01:00;48.7709358667,2.40340143442;Choisy-le-Roi;
42014;Place Marcel Cachin;OUI;32;31;1;1;0;OUI;OUI;2020-12-07T13:26:15+01:00;48.8141144236,2.39090770483;Ivry-sur-Seine;
18028;Championnet - Vauvenargues;OUI;33;21;12;3;9;OUI;OUI;2020-12-07T13:25:54+01:00;48.8940187474,2.33198728412;Paris;
15054;Lecourbe - Jean Maridor;OUI;19;4;15;12;3;OUI;OUI;2020-12-07T13:26:33+01:00;48.8379636615,2.28773921728;Paris;
10024;Buisson Saint-Louis - Saint-Maur;OUI;19;14;5;4;1;OUI;OUI;2020-12-07T13:23:18+01:00;48.8717468493,2.37225283288;Paris;
18046;Etienne Jodelle - Saint Ouen;OUI;33;31;1;0;1;OUI;OUI;2020-12-07T13:23:13+01:00;48.8879401639,2.32612442031;Paris;
18031;Place Albert Kahn;OUI;46;40;7;2;5;OUI;OUI;2020-12-07T13:24:33+01:00;48.8957969798,2.34558558413;Paris;
35002;Jean Jaurès - Presles;OUI;30;29;1;1;0;OUI;OUI;2020-12-07T13:25:20+01:00;48.907134415,2.39600572805;Pantin;
20037;Gambetta - Saint Fargeau;OUI;24;23;1;0;1;OUI;OUI;2020-12-07T13:24:48+01:00;48.8712446104,2.40390568972;Paris;
44013;Edouard Tremblay - Julian Grimau;OUI;30;28;2;1;1;OUI;OUI;2020-12-07T13:24:15+01:00;48.7813838251,2.37235084176;Vitry-sur-Seine;
5018;Mutualité;OUI;37;9;27;26;1;OUI;OUI;2020-12-07T13:25:15+01:00;48.8482255727,2.35028732568;Paris;
14012;Sibelle - Alésia;OUI;25;21;4;2;2;OUI;OUI;2020-12-07T13:26:50+01:00;48.8267017585,2.33849834651;Paris;
15106;Grenelle - Violet;OUI;35;12;23;20;3;OUI;OUI;2020-12-07T13:26:21+01:00;48.8499303551,2.29461204261;Paris;
15109;Cevennes - Bergers;OUI;29;24;5;5;0;OUI;OUI;2020-12-07T13:23:42+01:00;48.8424076513,2.28103771806;Paris;
14008;Mouton Duvernet - Général Leclerc;OUI;39;36;3;2;1;OUI;OUI;2020-12-07T13:22:59+01:00;48.8316325183,2.32931211591;Paris;
21209;Molière - République;OUI;30;27;3;2;1;OUI;OUI;2020-12-07T13:17:44+01:00;48.8111158139,2.31457386244;Montrouge;
5124;Erasme - Ulm;OUI;24;2;22;7;15;OUI;OUI;2020-12-07T13:22:47+01:00;48.8426437527,2.34459467232;Paris;
13053;Chevaleret - Tolbiac;OUI;21;2;19;14;5;OUI;OUI;2020-12-07T13:25:38+01:00;48.82941,2.375934;Paris;
14106;Marc Sangnier - Porte de Vanves;OUI;21;17;4;1;3;OUI;OUI;2020-12-07T13:20:56+01:00;48.8252186836,2.31071166694;Paris;
21005;Hôtel de Ville de Boulogne Billancourt;OUI;26;21;5;4;1;OUI;OUI;2020-12-07T13:25:19+01:00;48.8349588517,2.24168032408;Boulogne-Billancourt;
22406;Guy Môquet - Etienne Dolet;OUI;23;22;1;0;1;OUI;OUI;2020-12-07T13:25:20+01:00;48.8152700999,2.298078277;Malakoff;
14124;David Weill - Parc Montsouris;OUI;22;22;0;0;0;OUI;OUI;2020-12-07T13:18:41+01:00;48.8210923743,2.33372569084;Paris;
31102;Boissière - Etienne Dolet;OUI;21;20;1;0;1;OUI;OUI;2020-12-07T13:19:52+01:00;48.876111,2.4677312;Montreuil;
7101;Raspail - Chomel;OUI;49;2;45;38;7;OUI;OUI;2020-12-07T13:23:50+01:00;48.8522331643,2.32665807009;Paris;
8054;Bertie Albrecht - Hoche;OUI;32;20;11;10;1;OUI;OUI;2020-12-07T13:24:40+01:00;48.8761403983,2.30130313831;Paris;
15110;Place Robert Guillemard;OUI;24;6;18;15;3;OUI;OUI;2020-12-07T13:25:30+01:00;48.8361917281,2.28112671601;Paris;
35010;Hoche - Jean Lolive;OUI;24;21;3;1;2;OUI;OUI;2020-12-07T13:26:02+01:00;48.891102392,2.40284353495;Pantin;
18022;Marcadet - Barbès;OUI;37;29;4;2;2;OUI;OUI;2020-12-07T13:26:45+01:00;48.890451121,2.34905739297;Paris;
20131;Repos - Cimetière du Père Lachaise;OUI;33;32;1;0;1;OUI;OUI;2020-12-07T13:22:16+01:00;48.8593585236,2.38961313668;Paris;
15133;Vaugirard - Place Henri Rollet;OUI;27;24;3;2;1;OUI;OUI;2020-12-07T13:26:50+01:00;48.8365914815,2.29305569082;Paris;
21006;Marcelin Berthelot;OUI;27;11;16;13;3;OUI;OUI;2020-12-07T13:26:03+01:00;48.8415473059,2.23316162825;Boulogne-Billancourt;
10042;Enghien - Faubourg Poissonnière;OUI;16;0;16;15;1;OUI;OUI;2020-12-07T13:25:38+01:00;48.8724200631,2.34839523628;Paris;
42027;Verdun - Pierre et Marie Curie;NON;0;0;0;0;0;NON;NON;2019-09-16T11:07:50+02:00;48.8127388528,2.37079328705;Ivry-sur-Seine;
21015;Nationale - Place Jules Guesde;OUI;23;17;6;2;4;OUI;OUI;2020-12-07T13:20:54+01:00;48.8275396246,2.24160522223;Boulogne-Billancourt;
31008;François Debergue - Croix de Chavaux;OUI;57;53;4;2;2;OUI;OUI;2020-12-07T13:22:56+01:00;48.8574217081,2.43757814169;Montreuil;
44003;Gabriel Péri - Danielle Casanova;OUI;20;18;2;0;2;OUI;OUI;2020-12-07T13:26:00+01:00;48.790114,2.4025777;Vitry-sur-Seine;
41404;Carnot - Pâquerettes;OUI;26;11;15;15;0;OUI;OUI;2020-12-07T13:26:30+01:00;48.7959293943,2.42618411779;Alfortville;
15034;Lakanal - Commerce;OUI;53;21;32;29;3;OUI;OUI;2020-12-07T13:25:45+01:00;48.8444246279,2.29405917227;Paris;
42021;Raspail - Manufacture des Oeillets;OUI;32;12;20;18;2;OUI;OUI;2020-12-07T13:26:09+01:00;48.8094458,2.3903009;Ivry-sur-Seine;
22203;Tertres - Fontaine;OUI;28;26;2;1;1;OUI;OUI;2020-12-07T13:18:12+01:00;48.7875536547,2.30623573065;Bagneux;
11030;Oberkampf - République;OUI;24;13;11;9;2;OUI;OUI;2020-12-07T13:26:41+01:00;48.8654533,2.3760261;Paris;
41202;Gare Rer de Fontenay sous Bois;OUI;62;61;1;0;1;OUI;OUI;2020-12-07T13:26:32+01:00;48.8436279,2.4630465;Fontenay-sous-Bois;
44004;Place de l'Eglise;OUI;28;13;13;9;4;OUI;OUI;2020-12-07T13:18:10+01:00;48.7919228199,2.39505775273;Vitry-sur-Seine;
35020;Marcelle - Thalie;OUI;20;16;4;2;2;OUI;OUI;2020-12-07T13:17:06+01:00;48.8835462,2.4137883;Pantin;
31708;Noisy le Sec - Jean-Baptiste Clément;OUI;22;21;1;0;1;OUI;OUI;2020-12-07T13:25:34+01:00;48.8745153896,2.41528362036;Bagnolet;
20115;Louis Lumière - Porte de Bagnolet;OUI;20;2;18;17;1;OUI;OUI;2020-12-07T13:26:49+01:00;48.86431136,2.41052102298;Paris;
17031;Place de la Porte de Champerret;OUI;28;26;2;1;1;OUI;OUI;2020-12-07T13:26:30+01:00;48.8856174163,2.29078141128;Paris;
31003;Paris - Emile Zola;OUI;30;25;5;2;3;OUI;OUI;2020-12-07T13:23:38+01:00;48.8548980958,2.41866856813;Montreuil;
25003;Henri Ste-Claire Déville - Paul Héroult;OUI;24;13;11;1;10;OUI;OUI;2020-12-07T13:21:10+01:00;48.892663,2.172411;Rueil-Malmaison;
17013;Legendre - Dulong;OUI;23;20;3;3;0;OUI;OUI;2020-12-07T13:20:34+01:00;48.8853251694,2.31642376631;Paris;
22402;Jean Jaurès - Salvador Allende;OUI;43;41;3;1;2;OUI;OUI;2020-12-07T13:23:33+01:00;48.8214755947,2.30265766382;Malakoff;
16008;Galilée - Kléber;OUI;33;17;15;4;11;OUI;OUI;2020-12-07T13:25:08+01:00;48.8674118657,2.29078138011;Paris;
9116;Victoire - Chaussée d'Antin;OUI;24;2;22;17;5;OUI;OUI;2020-12-07T13:26:32+01:00;48.875065791,2.33167380095;Paris;
48010;Karl Marx;OUI;16;16;0;0;0;OUI;OUI;2020-12-07T13:19:59+01:00;48.7845279373,2.36466679795;Villejuif;
21008;Victor Hugo - Galliéni;OUI;34;28;6;3;3;OUI;OUI;2020-12-07T13:25:58+01:00;48.8380201544,2.24608451128;Boulogne-Billancourt;
11026;Chemin Vert - Saint-Maur;OUI;45;39;6;1;5;OUI;OUI;2020-12-07T13:25:59+01:00;48.8611246141,2.38129902631;Paris;
11039;Richard Lenoir - Jean-Pierre Timbaud;OUI;36;29;4;2;2;OUI;OUI;2020-12-07T13:26:19+01:00;48.8658042767,2.36933707497;Paris;
13050;Quai Panhard et Levassor;OUI;57;1;53;50;3;OUI;OUI;2020-12-07T13:26:51+01:00;48.8283748281,2.38427374581;Paris;
1119;Cossonnerie - Sébastopol;OUI;24;1;23;14;9;OUI;OUI;2020-12-07T13:24:49+01:00;48.8613266591,2.34941963106;Paris;
32604;Square du Théâtre du Garde-Chasse;OUI;50;48;2;1;1;OUI;OUI;2020-12-07T13:26:18+01:00;48.8812873751,2.42011964321;Les Lilas;
9010;Rochechouart lamartine;OUI;24;10;14;5;9;OUI;OUI;2020-12-07T13:25:30+01:00;48.8767198951,2.34439302185;Paris;
19024;Botzaris - Parc des Buttes Chaumont;OUI;20;18;2;0;2;OUI;OUI;2020-12-07T13:26:35+01:00;48.877951,2.381464;Paris;
15021;Joseph Liouville - Croix Nivert;OUI;64;55;9;7;2;OUI;OUI;2020-12-07T13:26:19+01:00;48.8448354712,2.29750849307;Paris;
5106;Cujas - Saint-Michel;OUI;19;2;17;15;2;OUI;OUI;2020-12-07T13:25:35+01:00;48.8481913486,2.34183165485;Paris;
5012;Estrapade - Ulm;OUI;16;3;13;9;4;OUI;OUI;2020-12-07T13:24:32+01:00;48.8451277283,2.34545681704;Paris;
9014;Faubourg Montmartre - La Fayette;OUI;35;1;33;30;3;OUI;OUI;2020-12-07T13:26:18+01:00;48.8752545491,2.3408536613;Paris;
11105;Parmentier - République;OUI;50;45;5;2;3;OUI;OUI;2020-12-07T13:20:56+01:00;48.8644954,2.3750124;Paris;
17105;Place Madeleine Daniélou;OUI;42;28;14;9;5;OUI;OUI;2020-12-07T13:25:36+01:00;48.883498,2.282015;Paris;
20134;Lieutenant Chauré - Etienne Marey;OUI;20;19;1;0;1;OUI;OUI;2020-12-07T13:20:38+01:00;48.8674619541,2.40597099066;Paris;
18009;Jean-François Lépine - Stephenson;OUI;22;17;4;2;2;OUI;OUI;2020-12-07T13:20:29+01:00;48.886114668,2.35685562753;Paris;
31707;Edouard Vaillant - Galliéni;OUI;49;49;0;0;0;NON;NON;2020-08-14T04:12:17+02:00;48.8584628817,2.41479545832;Bagnolet;
41601;Général De Gaulle - Alouette;OUI;26;19;7;2;5;OUI;OUI;2020-12-07T13:26:44+01:00;48.839109,2.4175664;Saint-Mandé;
21701;Larmeroux - Baudelaire;OUI;30;30;0;0;0;OUI;OUI;2020-12-07T13:22:42+01:00;48.8169399113,2.28098948048;Vanves;
14110;Abbé Carton - Plantes;OUI;25;25;0;0;0;OUI;OUI;2020-12-07T13:26:09+01:00;48.8276738232,2.3209181428;Paris;
22003;Beffroy;OUI;26;9;17;13;4;OUI;OUI;2020-12-07T13:26:19+01:00;48.8865910745,2.26139456034;Neuilly-sur-Seine;
17125;Marie-Georges Picquart - Pereire;OUI;32;23;9;5;4;OUI;OUI;2020-12-07T13:26:26+01:00;48.8886366935,2.31117065996;Paris;
16038;Molitor - Chardon-Lagache;OUI;34;26;7;4;3;OUI;OUI;2020-12-07T13:22:47+01:00;48.8452088018,2.2656840831;Paris;
16108;Sablons - Georges Mandel;OUI;38;37;1;0;1;OUI;OUI;2020-12-07T13:20:43+01:00;48.863875,2.28189;Paris;
43005;Gare RER de Vincennes;OUI;51;33;18;12;6;OUI;OUI;2020-12-07T13:23:03+01:00;48.8475630151,2.43338316679;Vincennes;
19032;Villette - Belleville;OUI;48;45;3;0;3;OUI;OUI;2020-12-07T13:25:33+01:00;48.8726877314,2.37646132708;Paris;
19022;Marché Secrétan;OUI;26;22;4;2;2;OUI;OUI;2020-12-07T13:26:39+01:00;48.8812549638,2.37346328795;Paris;
16136;Théophile Gautier - François Millet;OUI;30;7;22;19;3;OUI;OUI;2020-12-07T13:23:10+01:00;48.8503482132,2.27302998304;Paris;
8057;Hoche - Tilsitt;OUI;33;20;13;9;4;OUI;OUI;2020-12-07T13:17:56+01:00;48.8748364578,2.29713231325;Paris;
24001;Arche - Léonard de Vinci;OUI;28;19;9;3;6;OUI;OUI;2020-12-07T13:25:23+01:00;48.8979097249,2.23837230436;Courbevoie;
1122;Pont-Neuf - Quai du Louvre;OUI;30;2;26;23;3;OUI;OUI;2020-12-07T13:26:19+01:00;48.8582958983,2.34237145633;Paris;
22016;Charles de Gaulle - Sablonville;OUI;26;24;2;0;2;OUI;OUI;2020-12-07T13:18:39+01:00;48.8799192486,2.27637704462;Neuilly-sur-Seine;
11024;Mairie du 11ème;OUI;51;45;4;2;2;OUI;OUI;2020-12-07T13:26:42+01:00;48.858925,2.3789759;Paris;
14136;Auguste Cain - Jean Moulin;OUI;40;37;3;2;1;OUI;OUI;2020-12-07T13:26:15+01:00;48.8257702893,2.32104152441;Paris;
2111;Chabanais - Petits Champs;NON;0;0;0;0;0;NON;NON;2019-10-10T10:34:34+02:00;48.867281,2.336729;Paris;
8025;Miromesnil - La Boétie;OUI;35;6;28;21;7;OUI;OUI;2020-12-07T13:25:28+01:00;48.8737224129,2.31584809721;Paris;
9032;Mathurins - Auber;OUI;36;4;28;26;2;OUI;OUI;2020-12-07T13:26:31+01:00;48.8729888407,2.32949842123;Paris;
32302;Chemin Vert - Fraternité;OUI;20;17;3;1;2;OUI;OUI;2020-12-07T13:23:17+01:00;48.8771412084,2.44615651667;Romainville;
5123;Saint-Germain - Thenard;OUI;31;4;26;16;10;OUI;OUI;2020-12-07T13:25:18+01:00;48.850571,2.3471015;Paris;
10014;Marseille - Beaurepaire;OUI;55;39;14;12;2;OUI;OUI;2020-12-07T13:25:59+01:00;48.871624307,2.36392650827;Paris;
11035;Parmentier - Abel Rabaud;OUI;53;49;3;1;2;OUI;OUI;2020-12-07T13:24:54+01:00;48.8692127384,2.37168882124;Paris;
13002;Arago - Glacière;OUI;27;19;7;4;3;OUI;OUI;2020-12-07T13:26:49+01:00;48.8348605478,2.34457705243;Paris;
22006;Pierret - Madrid;OUI;28;15;12;4;8;OUI;OUI;2020-12-07T13:25:23+01:00;48.8829765769,2.26012576725;Neuilly-sur-Seine;
42010;Mairie d'Ivry-sur-Seine;OUI;53;36;17;14;3;OUI;OUI;2020-12-07T13:26:08+01:00;48.8105712097,2.38428264856;Ivry-sur-Seine;
21301;Saint-Vincent - Verdun;OUI;34;25;9;5;4;OUI;OUI;2020-12-07T13:23:27+01:00;48.8192115492,2.25400775671;Issy-les-Moulineaux;
15046;Parc Georges Brassens - Brancion;OUI;29;27;2;1;1;OUI;OUI;2020-12-07T13:25:20+01:00;48.8322782927,2.30225700885;Paris;
21110;Parc Roger Salengro;OUI;36;34;2;2;0;OUI;OUI;2020-12-07T13:21:37+01:00;48.9053038586,2.31055945158;Clichy;
46001;Place Paul Eluard;OUI;19;0;16;11;5;OUI;OUI;2020-12-07T13:26:08+01:00;48.7672039733,2.41449773312;Choisy-le-Roi;
11042;Grand Prieuré - Crussol;OUI;49;44;5;5;0;OUI;OUI;2020-12-07T13:20:53+01:00;48.8646606279,2.36922655318;Paris;
16040;Exelmans - Michel-Ange;OUI;33;20;13;5;8;OUI;OUI;2020-12-07T13:25:31+01:00;48.8430948665,2.25977708007;Paris;
21104;Madame de Sanzillon - Mozart;OUI;22;12;10;10;0;OUI;OUI;2020-12-07T13:25:05+01:00;48.9037982077,2.31874018908;Clichy;
17028;Reims - Raymond Pitet;OUI;37;36;1;0;1;OUI;OUI;2020-12-07T13:17:25+01:00;48.8888,2.296319;Paris;
19016;Hautpoul - Jean Jaurès;OUI;32;31;1;1;0;OUI;OUI;2020-12-07T13:26:19+01:00;48.8863936794,2.38654145444;Paris;
21112;Claude Debussy - Marc Bloch;OUI;28;15;13;7;6;OUI;OUI;2020-12-07T13:26:35+01:00;48.9103881805,2.31177717447;Clichy;
15013;Volontaire - Lecourbe;OUI;31;18;13;7;6;OUI;OUI;2020-12-07T13:25:57+01:00;48.843513788,2.30655223131;Paris;
42302;Aristide Briand - Gare de Bagneux;OUI;22;18;4;1;3;OUI;OUI;2020-12-07T13:21:27+01:00;48.7938726966,2.32114881277;Cachan;
19013;Laumière - Petit;OUI;34;33;1;0;1;OUI;OUI;2020-12-07T13:25:41+01:00;48.8846736854,2.38003905863;Paris;
19029;Seine - Flandre;OUI;19;16;2;1;1;OUI;OUI;2020-12-07T13:25:06+01:00;48.8867857415,2.37461932003;Paris;
42301;Gare Arcueil - Cachan;OUI;26;14;12;9;3;OUI;OUI;2020-12-07T13:17:07+01:00;48.799824,2.328171;Arcueil;
32003;Wilson - Métallurgie;OUI;28;24;4;2;2;OUI;OUI;2020-12-07T13:26:51+01:00;48.9094230101,2.35844358802;Saint-Denis;
7005;Raspail - Bac;OUI;52;6;46;38;8;OUI;OUI;2020-12-07T13:26:40+01:00;48.8556287211,2.32566028833;Paris;
9005;Square d'Anvers;OUI;34;30;4;1;3;OUI;OUI;2020-12-07T13:25:52+01:00;48.8826334843,2.34488440621;Paris;
42504;Gare RER de Gentilly;OUI;30;30;0;0;0;OUI;OUI;2020-12-07T13:23:36+01:00;48.8142804504,2.34103471041;Gentilly;
7102;Mairie du 7ème;OUI;27;2;25;20;5;OUI;OUI;2020-12-07T13:26:19+01:00;48.8577967,2.3192664;Paris;
18201;Tristan Tzara -  Tchaïkovski;OUI;33;31;2;2;0;OUI;OUI;2020-12-07T13:22:20+01:00;48.8949022175,2.36484903842;Paris;
11004;Charonne - Faubourg Saint-Antoine;OUI;34;3;31;27;4;OUI;OUI;2020-12-07T13:26:51+01:00;48.8521919097,2.37409327179;Paris;
20121;Boyer - Ménilmontant;OUI;19;18;1;0;1;OUI;OUI;2020-12-07T13:19:42+01:00;48.8688951627,2.39198241456;Paris;
21302;Aristide Briand - Place de la Résistance;OUI;25;8;17;16;1;OUI;OUI;2020-12-07T13:26:27+01:00;48.821242484,2.25110024214;Issy-les-Moulineaux;
20111;Villiers de l'Isle Adam - Pyrénées;OUI;20;20;0;0;0;OUI;OUI;2020-12-07T13:21:50+01:00;48.867362,2.396222;Paris;
42015;Place Jean Ferrat;OUI;25;11;14;11;3;OUI;OUI;2020-12-07T13:26:33+01:00;48.8184945213,2.37441748381;Ivry-sur-Seine;
32016;Place de la Porte de Paris;OUI;40;24;7;2;5;OUI;OUI;2020-12-07T13:25:42+01:00;48.9300936321,2.35640376806;Saint-Denis;
19008;Flandre - Alphonse Karr;OUI;26;23;3;1;2;OUI;OUI;2020-12-07T13:26:48+01:00;48.89465,2.381868;Paris;
15201;Place Amédée Gordini - Lefebvre;OUI;38;37;0;0;0;OUI;OUI;2020-12-07T13:26:16+01:00;48.8306173775,2.29206342083;Paris;
31010;Stalingrad - Désiré Chevalier;OUI;42;38;4;3;1;OUI;OUI;2020-12-07T13:26:19+01:00;48.8567016974,2.44507223368;Montreuil;
9021;Saint Georges - d'Aumale;OUI;23;18;5;5;0;OUI;OUI;2020-12-07T13:14:18+01:00;48.877786396,2.33742982149;Paris;
12009;Charenton - Diderot;OUI;18;5;13;8;5;OUI;OUI;2020-12-07T13:24:59+01:00;48.8461714612,2.37930681556;Paris;
13041;Porte d'Ivry;OUI;50;47;3;1;2;OUI;OUI;2020-12-07T13:21:29+01:00;48.8217687476,2.36887067556;Paris;
11036;Jules Ferry - Faubourg du Temple Paris;OUI;58;51;7;5;2;OUI;OUI;2020-12-07T13:24:43+01:00;48.868397,2.3678933;Paris;
5006;Saint-Jacques - Soufflot;OUI;19;6;13;7;6;OUI;OUI;2020-12-07T13:23:01+01:00;48.8465255,2.343099;Paris;
19125;Place de l'Édit de Nantes;OUI;30;30;0;0;0;OUI;OUI;2020-12-07T13:25:59+01:00;48.88879,2.3785;Paris;
8013;Marignan - Champs-Elysées;OUI;35;0;11;6;5;OUI;OUI;2020-12-07T13:24:36+01:00;48.8694956612,2.3066138139;Paris;
11009;Boulets - Voltaire;OUI;24;22;2;2;0;OUI;OUI;2020-12-07T13:23:21+01:00;48.8521870562,2.38903015852;Paris;
92008;Hôtel de Ville de Nanterre;OUI;38;25;11;6;5;OUI;OUI;2020-12-07T13:26:19+01:00;48.8923718983,2.20554895699;Nanterre;
21313;Guynemer - Séverine;OUI;26;6;18;16;2;OUI;OUI;2020-12-07T13:20:19+01:00;48.8309174337,2.27907065302;Issy-les-Moulineaux;
41402;Victor Hugo - Ecoles;OUI;25;5;20;15;5;OUI;OUI;2020-12-07T13:26:06+01:00;48.8047600794,2.41803739303;Alfortville;
11007;Jean Macé - Faidherbe;OUI;63;46;16;15;1;OUI;OUI;2020-12-07T13:25:12+01:00;48.8533754843,2.38286208361;Paris;
43003;Hôpital Bégin;OUI;26;19;7;6;1;OUI;OUI;2020-12-07T13:26:11+01:00;48.8457167211,2.42724627256;Vincennes;
32303;Gaston Roussel - Commune de Paris;OUI;30;24;6;5;1;OUI;OUI;2020-12-07T13:23:42+01:00;48.8943203455,2.43255227442;Romainville;
18012;Stephenson - Doudeauville;OUI;36;32;4;2;2;OUI;OUI;2020-12-07T13:18:50+01:00;48.8885370489,2.35616102815;Paris;
42029;Stalingrad - Germaine Tailleferre;OUI;28;26;1;0;1;OUI;OUI;2020-12-07T13:23:24+01:00;48.8025720048,2.37866912037;Ivry-sur-Seine;
23009;Anatole France - Louise Michel;OUI;50;39;11;4;7;OUI;OUI;2020-12-07T13:25:49+01:00;48.8887321493,2.28815764189;Levallois-Perret;
12027;Montgallet - Charenton;OUI;16;10;5;3;2;OUI;OUI;2020-12-07T13:21:31+01:00;48.8426477787,2.38616492781;Paris;
8035;Bienfaisance - Place de Narvik;OUI;36;8;28;20;8;OUI;OUI;2020-12-07T13:26:36+01:00;48.8766016346,2.31297712773;Paris;
10011;Bourse du Travail;OUI;17;9;7;3;4;OUI;OUI;2020-12-07T13:25:17+01:00;48.8689766388,2.3623438552;Paris;
21305;Place Jacques Madaule;OUI;25;10;15;11;4;OUI;OUI;2020-12-07T13:23:13+01:00;48.8239337873,2.26069182158;Issy-les-Moulineaux;
6013;Jacques Callot - Mazarine;OUI;28;4;24;19;5;OUI;OUI;2020-12-07T13:21:00+01:00;48.8552801753,2.3375743255;Paris;
26007;Square Gilbert Thomain;OUI;20;14;6;0;6;OUI;OUI;2020-12-07T13:25:23+01:00;48.9071737381,2.26954009384;Asnières-sur-Seine;
10113;Parmentier - Hôpital Saint-Louis;OUI;43;40;3;2;1;OUI;OUI;2020-12-07T13:23:00+01:00;48.8713798743,2.36989638367;Paris;
7112;Quai d'Orsay - Invalides;OUI;18;5;13;5;8;OUI;OUI;2020-12-07T13:26:51+01:00;48.8630969001,2.31698962102;Paris;
28001;Richard Wallace - Place du 8 Mai 1945;OUI;30;24;6;4;2;OUI;OUI;2020-12-07T13:25:22+01:00;48.8786679479,2.24203437567;Puteaux;
19005;Flandre - Riquet;OUI;21;19;2;1;1;OUI;OUI;2020-12-07T13:25:03+01:00;48.8880132814,2.37375959552;Paris;
33018;Edouard Poisson - Victor Hugo;OUI;30;27;5;5;0;OUI;OUI;2020-12-07T13:26:37+01:00;48.9111391495,2.37927228212;Aubervilliers;
19018;Cité de la Musique;OUI;60;60;0;0;0;NON;NON;2019-09-25T07:55:41+02:00;48.8887965565,2.39258119319;Paris;
16111;Faustin Hélie - Desbordes-Valmore;OUI;33;28;5;3;2;OUI;OUI;2020-12-07T13:23:17+01:00;48.859403,2.276522;Paris;
11115;Montreuil - Gonnet;OUI;24;17;5;2;3;OUI;OUI;2020-12-07T13:25:37+01:00;48.8505005649,2.38908562879;Paris;
7015;Varenne;OUI;47;2;45;35;10;OUI;OUI;2020-12-07T13:25:14+01:00;48.8572026618,2.31527712196;Paris;
15025;Dupleix - du Guesclin;OUI;47;34;13;11;2;OUI;OUI;2020-12-07T13:24:54+01:00;48.8514791041,2.29670953006;Paris;
12115;Porte de Vincennes;OUI;33;31;2;1;1;OUI;OUI;2020-12-07T13:24:41+01:00;48.846454,2.415514;Paris;
12013;Montgallet - Reuilly;OUI;16;8;8;4;4;OUI;OUI;2020-12-07T13:23:13+01:00;48.844291,2.3896481;Paris;
14021;Place de la Porte de Châtillon;OUI;59;57;2;2;0;OUI;OUI;2020-12-07T13:25:14+01:00;48.8242469,2.3186306;Paris;
17045;Place des Ternes;OUI;46;41;5;3;2;OUI;OUI;2020-12-07T13:25:37+01:00;48.8784386312,2.29772776365;Paris;
17037;Bayen - Pereire;OUI;22;18;4;1;3;OUI;OUI;2020-12-07T13:26:12+01:00;48.8818044091,2.29210887104;Paris;
35018;Ancien Canal - Hélène Brion;OUI;23;19;4;1;3;OUI;OUI;2020-12-07T13:22:27+01:00;48.894847993,2.41883385926;Pantin;
24002;Gare de Courbevoie;OUI;36;25;11;4;7;OUI;OUI;2020-12-07T13:26:36+01:00;48.8993867,2.2506506;Courbevoie;
18110;Departement - Pajol;OUI;19;17;2;0;2;OUI;OUI;2020-12-07T13:22:48+01:00;48.8866748497,2.36136116087;Paris;
16121;Jardin d'Acclimatation;OUI;33;13;19;16;3;OUI;OUI;2020-12-07T13:21:59+01:00;48.8787722425,2.27077223361;Paris;
32602;Mairie des Lilas;OUI;47;46;1;0;1;OUI;OUI;2020-12-07T13:19:26+01:00;48.8792834,2.4160182;Les Lilas;
14117;Gare Montparnasse - René Mouchotte;OUI;39;37;1;0;1;OUI;OUI;2020-12-07T13:19:57+01:00;48.8392038433,2.32088394463;Paris;
41606;Pasteur - Gambetta;OUI;19;14;5;4;1;OUI;OUI;2020-12-07T13:22:28+01:00;48.8457279738,2.42360115051;Saint-Mandé;
13049;Vincent Auriol - Louise Weiss;OUI;22;3;19;13;6;OUI;OUI;2020-12-07T13:26:48+01:00;48.8340019355,2.37038880587;Paris;
17011;Fragonard - Porte de Clichy;OUI;56;5;47;43;4;OUI;OUI;2020-12-07T13:25:55+01:00;48.8941556334,2.31438931078;Paris;
41102;Gare de Laplace;OUI;43;39;2;0;2;OUI;OUI;2020-12-07T13:26:13+01:00;48.8089319911,2.33494609594;Arcueil;
43402;Place de Verdun;OUI;40;9;31;31;0;OUI;OUI;2020-12-07T13:24:38+01:00;48.8202823,2.473775;Joinville-le-Pont;
12106;Gare de Lyon - Roland Barthes;OUI;68;46;22;15;7;OUI;OUI;2020-12-07T13:25:56+01:00;48.8439572949,2.37908821553;Paris;
