Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
14036;Boulard - Daguerre;OUI;45;45;0;0;0;OUI;OUI;2020-12-07T13:26:12+01:00;48.8344647268,2.32933860272;Paris;
15026;Bir Hakeim;OUI;33;17;16;14;2;OUI;OUI;2020-12-07T13:26:28+01:00;48.8538440543,2.28970534822;Paris;
8050;Boétie - Ponthieu;OUI;33;2;29;26;3;OUI;OUI;2020-12-07T13:25:59+01:00;48.8714172844,2.3076787591;Paris;
44017;Jules Guesde - Pont du Port à l'Anglais;OUI;30;2;27;13;14;OUI;OUI;2020-12-07T13:26:41+01:00;48.7962880709,2.41721212864;Vitry-sur-Seine;
6029;Vaugirard - Monsieur le Prince;OUI;26;2;23;20;3;OUI;OUI;2020-12-07T13:25:56+01:00;48.8489514416,2.34113294631;Paris;
19033;Cambrai - Benjamin Constant;OUI;43;42;1;1;0;OUI;OUI;2020-12-07T13:23:55+01:00;48.8959473685,2.38113380225;Paris;
20035;Pyrénées - Ménilmontant;OUI;26;26;0;0;0;OUI;OUI;2020-12-07T13:21:18+01:00;48.8693268535,2.39508457482;Paris;
16138;Saint-Cloud - Hippodrome;OUI;30;27;3;1;2;OUI;OUI;2020-12-07T13:23:30+01:00;48.8577214889,2.2549109906;Paris;
7004;Raspail - Varenne;OUI;18;1;17;13;4;OUI;OUI;2020-12-07T13:24:00+01:00;48.8531478165,2.32639051974;Paris;
15068;Général Martial Valin - Pont du Garigliano;OUI;16;4;12;8;4;OUI;OUI;2020-12-07T13:23:42+01:00;48.8382309427,2.27050602436;Paris;
9008;Tour d'Auvergne - Rodier;OUI;17;16;1;1;0;OUI;OUI;2020-12-07T13:26:20+01:00;48.879161,2.343698;Paris;
22207;Rond-point du Dr Albert Schweitzer;OUI;22;21;1;0;1;OUI;OUI;2020-12-07T13:26:03+01:00;48.7898091899,2.31439400464;Bagneux;
41303;Gare de Nogent-le-Perreux;OUI;32;10;22;16;6;OUI;OUI;2020-12-07T13:26:01+01:00;48.8384255335,2.49369330704;Nogent-sur-Marne;
92002;Théâtre des Amandiers - Palais des sports;OUI;24;21;3;2;1;OUI;OUI;2020-12-07T13:19:02+01:00;48.8926485268,2.21369415522;Nanterre;
48003;Youri Gagarine - Karl Marx;OUI;22;21;1;0;1;OUI;OUI;2020-12-07T13:26:04+01:00;48.7844848508,2.3590843007;Villejuif;
19027;Serrurier;OUI;18;17;1;1;0;OUI;OUI;2020-12-07T13:23:12+01:00;48.8804934032,2.39806417376;Paris;
16110;Octave Feuillet - Albéric Magnard;OUI;21;18;3;1;2;OUI;OUI;2020-12-07T13:23:21+01:00;48.8610690295,2.27302830666;Paris;
15028;Grenelle - Dr Finlay;OUI;71;13;56;54;2;OUI;OUI;2020-12-07T13:25:15+01:00;48.8513154067,2.29195028543;Paris;
